time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P(Pa)
2022-04-27 11:44:31.9680,-0.427,-1.704,0.635,2.86,6.22,-5.35,-0.49,-0.85,-0.46,100382.401
2022-04-27 11:44:31.9780,-0.351,-1.848,0.646,2.75,7.98,-6.6,-0.86,-0.67,-0.51,100382.401
2022-04-27 11:44:31.9880,-0.141,-1.946,0.384,1.05,8.88,-4.95,-1.15,-0.04,-0.24,100382.401
2022-04-27 11:44:31.9990,0.063,-2.341,0.232,-0.9,10.86,-2.07,-1.81,1.11,-0.09,100382.401
2022-04-27 11:44:32.0040,0.28,-3.984,0.921,-3.73,22.41,-6.67,-1.81,1.11,-0.09,100382.401
2022-04-27 11:44:32.0190,-0.174,-3.428,0.152,0.07,31.0,-6.36,-1.94,-0.3,0.3,100382.401
2022-04-27 11:44:32.0280,-0.97,1.045,0.989,4.52,-4.45,-1.78,-0.22,-0.9,1.48,100382.401
2022-04-27 11:44:32.0380,0.451,-0.234,2.471,1.8,-19.14,-25.21,-0.85,2.27,0.88,100382.401
2022-04-27 11:44:32.0480,1.029,-3.284,1.111,-13.36,13.85,-16.02,-1.68,-1.04,1.09,100382.401
2022-04-27 11:44:32.0580,-0.982,-1.522,0.677,3.86,19.72,-7.83,-2.77,-0.69,0.44,100382.401
2022-04-27 11:44:32.0680,1.282,0.335,-0.272,-5.16,-14.27,-3.69,-1.9,-0.65,1.04,100382.401
2022-04-27 11:44:32.0780,0.9,-1.002,-1.063,-14.9,-2.89,7.78,-1.02,-0.23,0.9,100382.401
2022-04-27 11:44:32.0880,-0.328,-0.863,-0.494,-2.01,0.06,5.65,-1.02,-0.23,0.9,100382.401
2022-04-27 11:44:32.0980,-0.489,-1.059,-0.285,3.11,-0.62,2.42,-1.05,-0.46,-0.02,100382.401
2022-04-27 11:44:32.1080,-1.052,-1.473,-0.539,6.4,3.22,-0.52,-1.05,-0.46,-0.02,100382.401
2022-04-27 11:44:32.1180,-0.723,-1.904,-1.343,7.57,8.4,11.73,1.76,0.48,-0.48,100382.401
2022-04-27 11:44:32.1300,-0.806,-1.736,-0.506,4.98,8.28,6.22,2.0,1.04,-0.74,100382.401
2022-04-27 11:44:32.1380,-0.905,-1.304,-0.534,7.41,4.43,3.16,2.0,1.04,-0.74,100382.401
